27	5
39	5
25	6
44	6
25	7
44	7
13	8
17	8
25	8
44	8
8	9
18	9
26	9
44	9
7	10
18	10
26	10
44	10
7	11
17	11
27	11
44	11
7	12
17	12
27	12
44	12
7	13
17	13
27	13
44	13
7	14
17	14
26	14
44	14
7	15
17	15
26	15
31	15
32	15
35	15
37	15
44	15
7	16
18	16
24	16
34	16
39	16
43	16
7	17
33	17
7	18
33	18
7	19
33	19
7	20
33	20
7	21
33	21
8	22
33	22
8	23
34	23
41	23
42	23
8	24
14	24
17	24
34	24
38	24
43	24
8	25
12	25
18	25
43	25
18	26
43	26
19	27
43	27
19	28
43	28
19	29
43	29
19	30
43	30
19	31
44	31
18	32
43	32
8	33
12	33
18	33
43	33
8	34
13	34
18	34
43	34
7	35
14	35
16	35
29	35
30	35
43	35
7	36
26	36
33	36
43	36
7	37
24	37
34	37
43	37
7	38
24	38
33	38
43	38
7	39
24	39
33	39
34	39
35	39
43	39
7	40
24	40
33	40
43	40
7	41
25	41
34	41
43	41
8	42
26	42
33	42
38	42
39	42
43	42
8	43
26	43
32	43
43	43
8	44
26	44
32	44
43	44
8	45
27	45
32	45
43	45
8	46
26	46
33	46
43	46
16	47
20	47
8	9
8	21
8	34
8	41
9	8
9	25
9	32
9	46
10	8
10	25
10	32
10	46
11	8
11	25
11	32
11	46
12	8
12	25
12	32
12	46
13	8
13	24
13	33
13	46
14	7
14	24
14	34
14	46
15	7
15	23
15	35
15	46
16	7
16	23
16	35
16	46
17	7
17	23
17	34
17	47
18	8
18	10
18	15
18	24
18	34
18	47
19	16
19	26
19	31
19	47
20	16
20	47
21	16
21	46
22	16
22	46
23	16
23	46
24	16
24	46
25	15
25	36
25	40
25	46
26	5
26	8
26	15
26	36
26	41
26	46
27	5
27	10
27	13
27	35
27	44
27	45
28	4
28	35
29	4
29	35
30	4
30	34
31	4
31	35
32	4
32	14
32	15
32	35
33	4
33	35
33	42
33	45
34	4
34	16
34	22
34	36
34	37
34	40
34	41
34	46
35	4
35	15
35	24
35	38
35	39
35	46
36	4
36	14
36	24
36	46
37	4
37	14
37	24
37	46
38	4
38	15
38	24
38	46
39	4
39	15
39	23
39	41
39	42
39	46
40	5
40	16
40	23
40	46
41	5
41	16
41	23
41	46
42	5
42	16
42	22
42	46
43	5
43	16
43	23
43	46
44	5
44	15
44	30
44	31
